body,title,url
"
Izzi, de Televisa, abrió los 10 canales de Fox Premium y dos de Golden Premier a sus suscriptores sin costo adicional durante este periodo de contingencia por el coronavirus; además ofrece de descuentos en películas On Demand.
Mientras que Blim, la plataforma de series y películas por internet de Televisa, ofrecerá sus contenidos de manera gratuita a partir de este viernes y hasta por 30 días.
“En Blim TV creemos que las historias de nuestras novelas, series y películas son un punto de encuentro que entretiene, relaja y nos da la posibilidad de compartir experiencias gratificantes con quienes más queremos en estos momentos que demandan distanciamiento social”, informó la empresa en un comunicado.
 

#blimtvTeAcompaña https://t.co/Aho8luq56l https://t.co/4BO6l16nQl
 — blimtv (@blim) March 20, 2020

Para acceder a los contenidos, los usuarios deben ingresar a blim.tv o descargar la aplicación en las tiendas Android o iOS de sus teléfonos inteligentes.
",Blim ofrece contenido gratis ante contingencia por coronavirus ,http://www.eluniversal.com.mx/cartera/blim-ofrece-contenido-gratis-ante-contingencia-por-coronavirus
"
Como parte del aumento de medidas de protección frente al coronavirus COVID-19, el gobierno de Belice anunció que, a partir de esta noche, cerrará su frontera con México, así como la zona libre de Corozal, que colinda con Quintana Roo, con excepción para el transporte de carga.
 
La frontera cerrará a partir de las 23:59 horas de hoy para nacionales y residentes que deseen viajar fuera de Belice excepto por emergencias.
 
El cierre de la zona libre representará un fuerte golpe para Chetumal, capital del estado.
 
“Sólo los nacionales, residentes y diplomáticos que habitan en el país podrán entrar, lo cual está sujeto a inspección y posible cuarentena durante 14 días”, se informó, a través de un comunicado emitido por Belice.
 
A partir del lunes también cerrará el Aeropuerto Internacional Philip S.W. Goldson, después de las últimas salidas de vuelo programadas.
 
Estas medidas sólo se aplican al movimiento de personas y no de camiones, ni aviones de carga.
 
El acuerdo, que será revisado en 30 días, fue tomado ayer por el Comité Nacional de Supervisión del Covid-19, reunido en Belmopan, Belice, a fin de reducir el riesgo de contagio, toda vez que aquel país no registra un solo caso confirmado.
 
“Evitar que el virus entre en Belice y practicar autoaislamiento son los dos pasos más importantes que se pueden tomar para evitar brote comunitario”, destacó el Ministerio de Salud.
 
En Quintana Roo, la Secretaría de Salud (SESA), anunció esta noche que los casos confirmados de coronavirus aumentaron a 12. De los 96 casos sospechosos, 61 fueron negativos y 23 están en estudio.
MAOT
","Por coronavirus, Belice cierra su frontera con México esta noche",http://www.eluniversal.com.mx/estados/coronavirus-belice-cierra-su-frontera-con-mexico
"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


Odalys Ramírez dio positivo por coronavirus, así lo dio a conocer en redes sociales.
Previamente ya había informado que se había hecho la prueba, tras presentar molestias.
Su esposo, el conductor Patricio Borguetti, también informó que Odalys estaba bien.
En cuanto le avisaron a Odalys que tenía coronavirus Covid-19, señaló que se mantendrá aislada en su casa, en una habitación sin salir.
Lo anterior siempre y cuando los síntomas no empeoraran, de ser el caso, tendría que acudir al hospital.
Borguetti al momento dijo que se haría la prueba completa, pues todo apuntaría a que lo tiene también. Esto se confirmó horas después, el conductor lo tiene.
Él hizo un viaje a España recientemente, pero no tenía síntomas.
Famosos con coronavirus 
El tema de coronavirus en el mundo del espectáculo está a la orden del día.
Algunos se dieron por positivos, sin comprobarse ni corroborarse, como el caso de Danna García, la actriz colombiana.
Ella fue señalada como la responsable del cierre de la ANDI, sin embargo, no es verdad.
Actrices como Sugey Ábrego, quien además es asmática, mostró su descontento porque aunque tenía ciertos síntomas, no le quisieron hacer la prueba, porque “somos de tercer mundo”.
En el mundo se dio a conocer como casos positivos a Idris Elba, Tom Hanks, entre otros.
Una de las hijas de Jacqueline Bracamontes tiene coronavirus, lo dio a conocer el esposo de la conductora: Martín Fuentes.
TE PUEDE INTERESAR
Odalys Ramírez, cuerpazo después de ser mamá
Síntomas de coronavirus Covid-19: Cómo saber si tienes coronavirus
¿Cuántos días tiene una cuarentena? | Coronavirus Covid-19
Coronavirus: 15 datos que debes saber sobre la pandemia de Covid-19
 
","Odalys Ramírez tiene coronavirus, famosos con Covid-19",http://www.unionyucatan.mx/articulo/2020/03/19/espectaculos/odalys-ramirez-tiene-coronavirus-famosos-con-covid-19
"
Con más de 215 mil casos registrados y casi 9 mil decesos hasta ayer, la pandemia por el Covid-19 colapsó a todas las bolsas de valores del mundo, cuyas empresas listadas han perdido valor ante la expectativa de pérdidas cuantiosas por la recesión de la economía mundial que se avecina. 
Después de iniciar 2020 con las mayores alzas en América, por encima de sus similares en Norteamérica y Latinoamérica, la Bolsa Mexicana de Valores (BMV) suma una pérdida de 18.2% y ayer finalizó en 35 mil 533 puntos, su nivel más bajo desde noviembre de 2011. 
De las 35 firmas más negociadas en esa entidad, 34 han visto su valor afectado en el último mes; sólo Elektra presenta una ganancia de 1.2%. 
Puedes leer: ¡Es una pesadilla!… mercados en crisis sufren caída histórica
En medio de cancelaciones de vuelos, tanto las aerolíneas como los grupos aeroportuarios han sido las primeras empresas impactadas por el pánico que desató el brote de coronavirus. 
Luego de transportar más de 21 millones de pasajeros el año pasado y consolidarse como la principal del país, Volaris acumula un desplome bursátil de 68.5% en las últimas semanas, el más severo de la bolsa mexicana. 

Alik García, analista del banco Intercam, dijo que el temor al Covid-19 y las restricciones de Guatemala y El Salvador, donde esa firma tiene operaciones, aminorarán su tráfico de pasajeros, cuando México entre a la fase de transmisión comunitaria. 
Te puede interesar: SHCP: pandemia nos va a pegar; necesitamos apoyo de banca
Para Gerardo Copca, miembro de MetAnálisis, el problema de Volaris es que la mayoría de sus equipos son rentados, los cuales debe continuar pagando, pese a recibir menos ingresos por la baja del tráfico de pasajeros, lo que repercutirá en sus resultados, sobre todo de cara a Semana Santa, cuando suele captar más flujo. 
Con una pérdida acumulada de 53.3% en un mes, Alsea arrastra el segundo peor descalabro en la BMV. La firma opera cadenas de restaurantes como Vips, California, Italianni’s y Starbucks. 
Los aeropuertos tienen el mismo problema por su relación con los viajes y el turismo, cuyo menor flujo de pasajeros reducirá sus ingresos, consideró Copca. 
También lee: Banqueros, preparados para enfrentar lo que venga, dicen
Con un declive de 32.5%, Grupo Aeroportuario del Sureste ocupa el lugar 11 por pérdidas en el mercado accionario mexicano. 
Desde 1945, al final de la Segunda Guerra Mundial, el turismo no enfrentaba un desafío como el que representa el coronavirus, cuyo costo inicial para México alcanzará entre 1% y 5% de su Producto Interno Bruto (PIB) en el rubro, anticiparon expertos del Centro de Investigación y Competitividad Turística (Cicotur) de la Universidad Anáhuac. 
","Restaurantes y aerolíneas, los más “infectados” económicamente",http://www.eluniversal.com.mx/cartera/restaurantes-y-aerolineas-los-mas-infectados
"

Las epidemias han cambiado frecuentemente el rumbo de la historia. La peste negra del siglo XIV aniquiló al 60% de la población de la Europa medieval; en México la viruela traída por los conquistadores devastó a más de la mitad de las comunidades indígenas; y la gripe española de 1918 mató entre 80 y 100 millones de personas en el mundo, más que todas las que fallecieron en la Segunda Guerra Mundial. Si bien las ciencias de la salud y las capacidades hospitalarias son mucho más favorables al ser humano y podría aspirarse a un plazo epidemiológico más breve, el Covid-19 tiene el potencial de dañar dramáticamente la economía global, que de suyo está cayendo en una profunda recesión. Llovido sobre regado.

Frank Snowden, profesor de historia médica en la Universidad de Yale y asesor de la Casa Blanca para la crisis actual, ha subrayado que las epidemias tuvieron un enorme impacto en las religiones, el arte, la literatura, el urbanismo y los servicios públicos, pero sobre todo en la demografía y en la economía. “De hecho, guerras, revoluciones y crisis económicas fueron en parte desencadenadas por epidemias; que habida cuenta del agotamiento de los recursos y de los seres humanos, se multiplicaron enfermedades durante largo tiempo”. Generaron así nuevos ciclos históricos.

La prevención puede reducir considerablemente los estragos, como en los terremotos y las erupciones volcánicas. También la conciencia general sobre la gravedad de la crisis y la disciplina social para disminuirla. En cambio el ocultamiento o la banalización del desastre, lo agudizan irresponsablemente. Recordemos la heroica y oportuna reacción ante el bombardeo de Londres. Los túneles que se cavaron para la defensa sirvieron después para trenes suburbanos y la disposición para reconstruir se tornó en victoria económica. Japón estableció sus grandes armadoras en Hiroshima y Nagasaki. Las calamidades sirven también para que florezca el talento de los pueblos.

La debacle económica mundial en combinación con el coronavirus afecta principalmente a la población en condición de pobreza —ignorancia y vulnerabilidad biológica—; aquellos que según la CEPAL caerán en “el desempleo, subempleo y la pobreza laboral”. La OIT considera que el Covid-19 reducirá el empleo mundial en casi 25 millones de personas. Los pronósticos de los optimistas fallaron: el Banco Mundial ve en el horizonte una reducción del 2.9% al 1.3% del PIB global y advierte la posibilidad de una aguda recesión. La conversión del hoyanco en cráter.

Los economistas de Norteamérica habían anunciado un impacto mínimo: una décima de punto porcentual en la disminución del crecimiento regional, pero ya Wall Street y por efecto arrastre la Bolsa Mexicana, tuvieron esta semana su peor caída desde la crisis de 2008, y los principales índices bursátiles cayeron en más del 10%, lo que no ocurría desde fines del 2018 cuando se acentuó la guerra arancelaria con China, entrando en zona de corrección que obliga a la disminución de las tasas de interés y a la inyección de grandes sumas de capital. A falta de estas últimas, se calcula que en nuestro país se reducirá el crecimiento de 1% a 0.75%: en camino hacia el inframundo.

Las cadenas productivas y de suministros globales están seriamente trastocadas y el brote está causando estragos al sector de servicios. Es particularmente grave en esta crisis la escasez en el abasto de medicinas. La propagación de casos confirmados en Europa, Asia y ahora en América, en el último mes están afectando al crecimiento global que puede reducirse a menos del 1% en 2020. Tanto la epidemia como la crisis económica inducen a una mayor intervención del Estado en diversos campos, pero propician igualmente la solidaridad social, que no el mercado. Este podría ser el saldo más positivo de esta emergencia.

Inclusive Donald Trump ofrece opciones para la prevención de la enfermedad infecciosa, como de las repercusiones económicas. Propone elevar a emergencia nacional la pandemia con cobertura total gratuita y decidió un plan de choque que contempla 700 mil millones de dólares en medidas de apoyo al salario y 300 mil millones en medidas fiscales que incentiven la inversión en infraestructura y detonen empleo. También Canadá y Francia, en las que se ha suspendido el pago de deudas personales y familiares. La dimensión de la crisis mexicana exige una respuesta seria y oportuna.

Diputado federal
",La bolsa y la vida,https://www.eluniversal.com.mx/opinion/porfirio-munoz-ledo/la-bolsa-y-la-vida
"
El titular de la Secretaría de Turismo del Gobierno del Estado, Arturo Esper Sulaimán informó que se ha decidido endurecer las medidas de restricción en los parajes turísticos de San Luis Potosí con la intención de cortar la llamada cadena de contagio del Covid-19, por lo que ya no solo se pedirá que se límite al 50 por ciento los cupos, sino que se cierren completamente a partir de este viernes 20 de marzo. 

El funcionario explicó que se ha decidido fortalecer la medida luego de las recomendaciones del Comité Estatal de Seguridad en Salud y gracias a la disposición que han manifestado los operadores turísticos y los ejidatarios que son dueños de los parajes de la zona media y la zona huasteca se ha decidido tomar está medida en solidaridad a la contingencia que se está viviendo.

También puedes leer: Autoridades municipales de Ciudad Valles cierran parajes turísticos ante Covid-19

Añadió que los operadores turísticos están conscientes de que la medida les traerá pérdidas económicas, sobre todo, porque se presenta a unos días de que comience la temporada más fuerte para el turismo en San Luis Potosí como Semana Santa, pero han estado de acuerdo también en qué es más importante la unidad para evitar el contagio masivo, que a largo plazo traería consecuencias aún más graves.

Finalmente puntualizó que los únicos que podrán seguir operando en el ramo del turismo serán los hoteles y los restaurantes, sin embargo tendrán que adoptar todas las medidas de sanidad que se han recomendado, todo esto al igual que el cierre de los parajes a partir del próximo viernes 20 de marzo, e hizo el llamado a los turistas que ya tenían reservado algunos viajes a territorio potosino a no cancelarlos sino reprogramarlos para la segunda mitad del año.

También puedes leer: Iglesia católica en SLP pide a fieles reprogramar bodas y bautizos ante coronavirus
","Endurecen medidas, parajes turísticos serán cerrados completamente a partir del viernes",https://sanluis.eluniversal.com.mx/sociedad/19-03-2020/endurecen-medidas-parajes-turisticos-seran-cerrados-completamente-partir-del
"
Un elemento de la policía estatal de Veracruz muerto y 10 efectivos federales-ocho marinos y dos guardias nacionales- heridos, dejó el desplome de un helicóptero de la Secretaría de Marina, en inmediaciones de la comunidad de Tlaquilpan, en el municipio de Zongolica.
De acuerdo con la Semar, los hechos ocurrieron la tarde ayer cuando la aeronave Black Hawk despegó de la base aeronaval ubicada en el puerto de Veracruz con el fin de trasladar a dos víctimas de secuestro, quienes fueron recuperados de sus captores en una operación coordinada en apoyo a las fuerzas federales y estatales antisecuestros, en la cual se aseguraron a cinco presuntos secuestradores.
Indicó que el agente fallecido pertenecía a la Policía Estatal de Veracruz, quien se encontraba a bordo de una patrulla en inmediaciones del campo de futbol de dicha localidad.
Por estos hechos, señaló, personal de la Marina desplegó un operativo en el área del accidente, a fin de brindar el apoyo a los tripulantes de la aeronave los cuales se encuentran en estado de salud estable

La Secretaría de Marina lamentó ""profundamente la pérdida del elemento de la Policía Estatal, deseando pronta resignación a su familia; asimismo refrenda el compromiso con la ciudadanía para brindar las condiciones necesarias y lograr desarrollo del país"".

MAOT
",Desplome de helicóptero deja un policía estatal muerto y 10 federales heridos: Semar,http://www.eluniversal.com.mx/nacion/seguridad/semar-muere-policia-y-10-federales-heridos-en-caida-de-helicoptero
"
General Motors (GM) de México suspenderá operaciones, por medio mes, en su planta de ensamble a partir del próximo 20 de marzo, la cual está ubicada en el complejo de San Luis Potosí.

La firma dio a conocer en un comunicado que el paro técnico se hará con el fin de regresar a las actividades el 13 de abril, aunque GM podría modificar las fechas, pues dijo que “por ahora” esa es la decisión y que en caso de cambios se darán a conocer oportunamente.

Esto es resultado de la decisión que difundió el corporativo de General Motor respecto a la suspensión sistemática y ordenada de sus operaciones de manufactura en Norteamérica, debido a las condiciones del mercado y para realizar una limpieza profunda de las instalaciones y seguir protegiendo a las personas del coronavirus (Covid-19).
",General Motors de México suspende operaciones en SLP por coronavirus,https://sanluis.eluniversal.com.mx/cartera/20-03-2020/general-motors-de-mexico-suspende-operaciones-en-slp-por-coronavirus
"
El cantante de música country ganador del Grammy Kenny Rogers murió el viernes por la noche a los 81 años, dijo el sábado su familia.
El cantante estadounidense ""murió pacíficamente en su casa de causas naturales"", dijo un comunicado de la página web del cantante.
""La familia está planeando un pequeño servicio privado en este momento de preocupación por la emergencia nacional del COVID-19"", agregó.
El cantante se embarcó en una gira mundial de despedida en 2016, pero en abril de 2018 canceló los últimos shows citando ""una serie de desafíos de salud"".
Rogers, tres veces ganador del Grammy y miembro del Salón de la Fama de la Música Country, fue conocido por canciones como ""The Gambler"" y su dueto de 1983 con Dolly Parton ""Islands in the Stream"".
Kenny Rogers saltó a la fama gracias a sus dúos con Dolly Parton

Después de comenzar su carrera en la década de 1950 con un grupo de jazz, Rogers empezó a actuar solo en la década de 1970 y lanzó su sencillo ""Lucille"" en 1977.

Una voz de éxitos 

El cantante, mundialmente conocido también por éxitos como ""Lucille"" o ""Islands in the Stream"", ganó tres veces un Grammy y vendió decenas de millones de discos en todo el mundo.
""Nunca me consideré un gran cantante, pero sí tengo cierta manera de contar historias"", dijo al Irish Examiner in 2013.
""He tenido mucha suerte en encontrar muchos grandes temas que han tenido el poder de permanencia y han permanecido en los corazones"", agregó.
""Hago dos tipos de canciones"", dijo a NPR en 2015. ""Están la canciones que cuentan una historia y tienen un significado social, o las baladas que dicen lo que cada hombre querría decir y lo que cada mujer querría escuchar"".



 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 



The Rogers family is sad to announce that Kenny Rogers passed away last night at 10:25 p.m. at the age of 81. Rogers passed away peacefully at home from natural causes under the care of hospice and surrounded by his family. https://ymlp.com/zbjSX9

Una publicación compartida de  Kenny Rogers (@_kennyrogers) el 20 Mar, 2020 a las 11:23 PDT



Una de esas baladas es ""Lady"", escrita por Lionel Richie y editada en 1980, que fue un éxito instantáneo.
El álbum ""The Gambler"" (El apostador), editado en 1978, fue un enorme hit internacional con varios discos de platino y pasó a ser su tema más emblemático.
Rogers protagonizó el filme ""The Gambler,"" basado en su canción, y le gustaba bromear diciendo que no era un buen apostador.
""Aprendí hace mucho tiempo que no puedo ganar suficiente dinero como para excitarme, pero puedo perder lo suficiente como para deprimirme"", dijo a NPR en 2015. ""Por eso no juego"".

El adiós

Ofreció en su último concierto en Nashville en octubre de 2017, donde compartió escenario con su amiga cantante y colaboradora de toda la vida Dolly Parton para una última presentación de ""Islands in the Stream"".
En abril de 2018 anuló las últimas fechas de su gira de despedida debido a problemas de salud.
""No quería demorar mi retiro una eternidad"", dijo Rogers.
""Disfruté muchísimo esta oportunidad de decir adiós a mis fans a lo largo de los últimos dos años"", indicó, agregando que ""nunca podría agradecerles apropiadamente por el aliento y apoyo que me dieron a lo largo de mi carrera"".
Nacido en Houston, Texas, en 1938, hijo de un carpintero y una enfermera, Rogers comenzó su carrera a fines de los años 50 y pronto entró a los mundos del rockabilly, el jazz y otros géneros que luego llevó al estilo country.
Rápidamente se convirtió en una estrella: Sus éxitos lideraron en 24 ocasiones la lista de los más escuchados y ganó seis ""Country Music Awards"".
Kenny Rogers saltó a la fama gracias a sus dúos con Dolly Parton y sus apariciones en algunas películas y programas de televisión, como ""The Muppet Show"" (El show de los Muppets o los Teleñecos, en español).
Sus baladas melodiosas y sus abundantes giras le convirtieron en un artista muy querido por el gran público, que también se rindió ante sus reinterpretaciones de las clásicas canciones de Navidad.
Casado cinco veces, le sobreviven su esposa Wanda y cinco hijo, incluyendo mellizos.

rad 
","Adiós a Kenny Rogers, el ídolo de la música country",http://www.eluniversal.com.mx/espectaculos/musica/adios-kenny-rogers-el-idolo-de-la-musica-country
"

Entre otros fenómenos asociados a la pandemia que estamos viviendo, está la propagación de miedo, convertida en pánico, el contagio de estrés, y la información (real y falsa) compartida en intensidades, velocidades y amplitudes que no habíamos conocido en la historia. Vinculado con ello, ha surgido toda clase de teorías de conspiración que para mucha gente resultan plausibles. En el caso concreto de China y EEUU, se puede apreciar que desde ambos países han emergido este tipo de teorías, muchas veces incluso sostenidas por actores políticos de relevancia. Desde China, por ejemplo, un funcionario del ministerio exterior declaró que el coronavirus es una enfermedad estadounidense que podría haber sido introducida por miembros del ejército de los Estados Unidos que visitaron Wuhan en octubre. De la otra parte, en EEUU, el senador Tom Cotton recuperó una teoría que decía que el virus habría sido manufacturado por el gobierno chino como arma biológica para usarse contra EEUU. Y esos son solo dos ejemplos. Es natural. Se trata de dos grandes titanes que hoy por hoy enfrentan la mayor rivalidad geopolítica de nuestros tiempos. De hecho, el peligro mayor de lo que está sucediendo entre EEUU y China, tiene mucho menos que ver con la guerra comercial y mucho más con la vida de que se está dotando a una espiral conflictiva que tiene no una, sino muchísimas facetas. La propagación del COVID-19 está exhibiendo una de ellas: la guerra informativa. Sin embargo, más allá de ello, es improbable que la pandemia y la crisis sistémica consecuente, sean el resultado de acciones premeditadas de una potencia contra la otra.
 Para entenderlo, es indispensable considerar que, además de ser los mayores rivales geopolíticos, ambas superpotencias, China y EEUU tienen lazos de interdependencia compleja de niveles históricos. Recupero estas líneas de un ensayo que escribí con Irene Levy al respecto:
 El apareamiento económico entre China y EEUU se gestó inicialmente en el plano del intercambio comercial. Según el censo estadounidense, las exportaciones chinas hacia EEUU, que en 1985 sumaban poco más de 3,800 millones de dólares, hacia 2018 ascendieron a más de 539 mil millones de dólares. Esto representa una quinta parte de todo lo que EEUU importa en la actualidad. Aunque menos, el comercio también creció enormemente en la otra dirección. De unos 3,800 millones de dólares en 1985, EEUU ha pasado a exportar a China más de 125 mil millones de dólares. Esto no solo representa un intercambio entre dos países, sino una verdadera sociedad comercial con todo lo que ello implica.
 Pero aún considerando esa sociedad comercial, el asunto se complejiza más si no solo pensamos en el tráfico de materias primas o productos terminados. De lo que estamos hablando, sobre todo en las últimas décadas, es de la construcción y afianzamiento de importantísimas cadenas de abasto, muchas de las cuales no solo involucran a EEUU y a China sino a otros países, pero que en el caso de esas dos superpotencias contribuyen considerablemente a la asociación económica que mencionamos. Sectores como el de la electrónica, maquinaria avanzada y partes industriales dependen del libre tránsito de componentes y materiales diversos entre ambos países. De hecho, ahora mismo, a raíz de los aranceles impuestos por EEUU a varios de los sectores mencionados, muchas empresas chinas se están viendo obligadas a encontrar formas para mantener vivas esas cadenas de abasto. Esto incluye la triangulación de las exportaciones chinas hacia EEUU a través de enviar las partes a sitios como Taiwán y Vietnam, y ensamblarlas posteriormente como productos manufacturados en esos países (Guilford y Kopf, 2019).
 Por si fuera poco, a lo largo de todos estos años, China se convirtió en el mayor acreedor de la deuda estadounidense. Para mayo del 2019, la deuda de los EEUU a China ascendía a 1.11 billones de dólares, es decir, el 27% de bonos del Tesoro y otros instrumentos que poseen otros países (Departamento del Tesoro de los EEUU, 2019). El segundo acreedor de EEUU es Japón. Si bien se ha dicho que este factor podría ser utilizado por China en un momento de desesperación en la guerra comercial, la realidad es que estas circunstancias hacen que ambas economías se vuelvan interdependientes. Sobra decir por qué un deudor desarrolla dependencia de su acreedor, pero al mismo tiempo, no está en el interés de un acreedor que su deudor tenga problemas económicos.
 Es indispensable, entonces, comprender lo que esto implica: (a) la vinculación o asociación económica es una realidad material que genera intereses no solo entre los propios gobiernos, sino también entre actores no estatales que no necesariamente se encuentran apareados con los intereses de sus estados sede, y por tanto, (b) que la decisión estratégica de activar instrumentos diversos, desde económicos hasta militares, para librar una guerra que tenga la meta última de debilitar a la contraparte, supondría disminuir la interdependencia económica y financiera, lo que solo se conseguiría reorientando inversiones, comercio y cadenas de abasto hacia afuera de China y con ello, redireccionar los intereses de todos esos actores no estatales que hoy se ven perjudicados con las disputas geopolíticas.
 Esto último que mencionamos en el ensayo está muy lejos de ocurrir. Por consiguiente, bajo las circunstancias de interacción, interconexión e interdependencia que hoy existen entre ambas potencias, parece inocente asumir que un arma biológica desplegada por uno de esos dos rivales únicamente dañaría al otro rival sin producir impactos humanos, económicos y sociales impredecibles en la sociedad y la economía del autor del ataque.
 Esta es la realidad: Beijing ha tenido que pagar un enorme costo por el coronavirus. Sin mencionar el costo en vidas humanas o el costo social, incluso si de verdad la propagación del virus ha sido controlada en ese país, y si realmente su economía finalmente se reactiva, su PIB se desacelerará brutalmente este año. En los pronósticos más optimistas, China estaría pasando de un 6% de crecimiento en 2019 a un 1.5% en 2020. Otros pronósticos incluso hablan de crecimiento negativo y eso, asumiendo que tras la reactivación económica no surgiesen nuevos brotes del virus. Esto implica despidos, cierres de empresas, desempleo de cientos de miles de personas. Bloomberg reportó ayer que casi la mitad de las empresas de consumo público de China carecen de suficiente efectivo para sobrevivir por los próximos seis meses. Todo ello ha provocado una verdadera revuelta en redes sociales, una crisis de legitimidad del Partido Comunista Chino, y otras muchas consecuencias cuyas dimensiones desconocemos.
 Pero del lado estadounidense el panorama no es mejor. Además, también, del costo en vidas humanas y un sistema de salud que podría estallar, EEUU va a entrar en recesión, justo en año electoral, por cierto. A esa recesión y al colapso de los mercados hay que añadir el dramático aumento del desempleo, la caída de los precios del petróleo con consecuencias gigantes para productores estadounidenses, las repercusiones para las líneas aéreas y, de hecho, para todo el sector de servicios brutalmente detenido. Por si eso no basta, hay que considerar que la implementación de medidas de emergencia va a requerir usar un dinero con el que no se cuenta (es decir, más deuda). Lo que está en juego es una serie de costos económicos, sociales, culturales y políticos que supone la drástica y repentina disrupción a la “forma de vida americana”.
 En palabras simples, esta no es una crisis de uno o de otro. Es una crisis de un sistema al que ambas superpotencias y al que todos los demás pertenecemos. Pensar que alguien buscó propagar al virus para dañar a una parte del sistema, suponiendo que las otras partes no quedarían dañadas o que el supuesto atacante permanecería inmune, parece poco creíble.

Twitter: @maurimm
",Conspiración Covid-19: China vs EU y EU vs China ,https://www.eluniversal.com.mx/opinion/mauricio-meschoulam/conspiracion-covid-19-china-vs-eu-y-eu-vs-china
